year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2012,560000,0,1,0,59000,7,16.02,93.7,1,1373
2015,1888000,1,2,0,120000,7,12.55,168.5,1,2982
2005,150000,0,2,0,89000,5,15.3,83,1,1341
2013,380000,1,2,0,70000,7,18.2,73.8,1,1248
2018,750000,1,1,0,30000,5,21.19,88.76,1,1396
2016,750000,1,1,0,35000,5,20.45,83.8,1,1461
2015,925000,1,1,0,60000,7,14,138.1,1,2179
2014,300000,0,1,0,49025,5,15.37,73,1,1196
2010,950000,1,1,0,426000,7,12.8,102,1,2494
2012,480000,1,1,0,85472,8,12.05,120,-1,2179
2011,210000,0,2,0,110000,5,19.81,68.05,1,1086
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2018,1050000,1,1,0,13000,7,17,139.01,1,2200
2016,790000,1,1,0,120000,7,24.52,88.5,1,1248
2014,530000,1,1,0,90000,5,25.2,74,1,1248
2007,130000,1,3,0,100000,5,16.1,70,1,1405
2016,890000,0,1,1,40000,5,14.8,121.3,-1,1591
2016,1295000,1,2,1,46000,7,11.45,197.2,-1,2776
2007,135000,0,2,0,100000,5,19.81,68.05,1,1086
2016,400000,0,2,0,20000,5,20.51,67.04,1,998
2013,385000,1,3,0,100000,7,20.77,88.8,1,1248
2018,650000,1,1,0,40000,5,20.14,88,-1,1498
2014,565000,1,1,0,111000,5,20.34,103.2,1,1498
2011,130000,0,1,0,67840,5,18,62,1,995
2016,1575000,1,1,1,55000,7,11.36,171.5,1,2755
2013,509999,1,2,0,165500,9,14,75,1,2523
2015,1050000,1,2,0,120000,7,15.1,140,1,2179
2015,525000,1,1,0,134000,5,25.2,74,1,1248
2007,110000,1,2,0,120000,5,18.7,66,1,1896
2016,550000,0,1,0,56494,5,18.2,88.7,-1,1199
2013,227999,1,2,0,60000,5,25,69.01,1,1396
2014,2500000,1,1,1,30000,5,9,181,1,1984
2014,495000,1,2,0,77215,5,25.2,74,1,1248
2013,700000,1,1,0,37659,7,20.77,88.8,1,1248
2018,539000,1,1,0,60000,5,22.95,74,1,1248
2010,195000,1,2,0,120000,5,16.2,110,1,1493
2019,770000,1,1,0,27000,5,28.4,74.02,1,1248
2007,250000,1,2,0,100000,5,16.6,122.4,1,1896
2017,484999,0,1,0,10000,5,23.1,67.04,-1,998
2018,700000,1,1,0,35000,5,21.5,108.5,1,1497
2017,650000,0,2,0,70000,7,17.5,91.1,1,1373
2007,300000,0,2,0,110000,7,12,127,1,2092
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2019,635000,0,1,0,2000,5,16.2,74,-1,1199
2014,720000,1,2,0,80000,8,12.99,100.6,1,2494
2010,180000,0,2,0,25000,5,19.7,46.3,1,796
2011,200000,1,1,0,84321,5,23.57,70,1,1396
2014,450000,1,1,0,56000,5,21.9,88.76,1,1396
2016,800000,0,1,0,25000,5,15.29,121.3,1,1591
2015,800000,0,1,0,50000,5,17.4,117.3,1,1497
2012,120000,0,3,0,70000,5,18.6,79.4,1,1199
2019,835000,0,1,1,10000,5,14.84,103.2,1,1598
2018,720000,0,1,0,25000,5,20.73,91.1,1,1373
2017,950000,1,1,0,52236,7,15.4,120,-1,2179
2011,220000,1,1,0,80000,5,23.03,69,1,1396
2016,550000,1,1,0,150000,9,15.96,63,1,2523
2014,361000,0,1,1,26000,5,19.34,76,1,1198
2015,450000,1,1,0,120000,5,20.5,91.72,1,1248
2015,700000,0,1,0,25000,5,17.01,121.4,1,1591
2009,114999,1,3,0,120000,5,19.09,69,1,1396
2017,1850000,1,1,1,18890,7,11.36,171.5,-1,2755
2012,195000,1,1,0,163720,5,18.5,68,-1,1399
2014,550000,1,1,0,31000,5,23.59,67.06,1,1364
2012,150000,1,1,0,110000,5,22.3,74,1,1248
2018,611000,0,1,0,9000,5,19.1,85.8,-1,1197
2011,250000,1,2,0,90000,7,13.55,118.35,1,2179
2011,350000,1,2,0,110000,5,20.54,103.6,1,1598
2008,500000,1,2,0,179150,7,11.57,138.1,1,2179
2015,490000,1,1,0,60000,5,25.2,74,1,1248
2018,550000,0,1,0,14200,5,18.16,86.8,1,1196
2009,120000,0,1,0,120000,5,19.7,46.3,1,796
2018,620000,0,1,0,15000,5,20.4,94.93,1,1194
2011,250000,0,1,0,70000,5,20.36,78.9,1,1197
2012,1300000,1,2,1,140000,5,18.88,184,1,1995
2016,540000,0,1,0,20000,5,20.4,81.8,1,1197
2012,532000,1,1,0,121779,8,12.05,120,1,2179
2011,180000,0,1,0,35000,5,21.1,55.2,1,814
2007,170000,1,2,0,120000,5,16.8,110,1,1493
2019,630000,0,1,0,5000,5,18.6,81.86,1,1197
2015,600000,0,1,0,35000,5,18.6,81.83,1,1197
2012,190000,0,1,0,65000,5,21.1,55.2,1,814
2015,200000,1,1,0,40000,5,25.44,56.3,1,936
2012,260000,1,1,0,60000,5,25,69,1,1396
2016,351000,0,1,0,60000,5,23.1,67.04,1,998
2017,525000,0,1,0,29000,5,20.89,81.8,-1,1197
2014,490000,1,1,0,50000,5,23.4,74,1,1248
2015,292000,1,1,0,70000,5,20,68.05,1,1399
2008,110000,0,3,0,80000,5,17.8,63,1,1086
2006,160000,0,1,0,90000,5,19.7,46.3,1,796
2012,385000,0,1,0,45000,5,18.5,86.8,-1,1198
2011,190000,0,2,0,20000,5,18,62,1,995
2012,300000,1,1,0,90000,5,20,68,1,1399
2017,1143000,1,1,1,51000,5,17.01,126.2,1,1582
2015,700000,1,1,0,20000,5,20.4,91.7,1,1248
2015,501000,1,2,0,80000,5,25.01,89.75,1,1498
2019,585000,0,1,1,80000,5,17.4,81.86,1,1197
2010,500000,1,2,0,120000,5,11.8,150,1,1991
2016,780000,1,1,0,60000,5,24.3,88.5,1,1248
2017,325000,0,1,0,65000,7,19.02,67.05,-1,1198
2019,5500000,1,1,1,8500,5,16.78,190,-1,1995
2013,550000,1,1,0,100000,5,23.4,74,1,1248
2018,1050000,1,1,0,18000,5,19.6,108.45,-1,1461
2018,550000,0,1,0,10000,5,21.4,83.1,1,1197
2017,625000,1,1,0,43000,5,28.4,74.02,1,1248
2017,1920000,1,2,0,20000,5,16.3,170,1,1956
2014,1850000,1,1,1,76131,5,13.22,241.4,1,2967
2010,185000,1,2,0,124316,5,20,68,-1,1399
2013,667000,1,1,0,65000,7,14.6,184,1,2231
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2018,875000,1,1,0,142000,5,14.1,147.94,1,2179
2018,925000,1,1,0,33360,5,22.77,98.59,-1,1498
2017,570000,0,1,0,35000,5,21.4,83.1,1,1197
2019,670000,1,1,0,53534,7,15.96,62.1,1,2523
2011,215000,0,2,0,50000,5,19.7,46.3,1,796
2011,300000,1,3,0,120000,5,20.54,103.6,1,1598
2018,700000,0,2,0,10000,5,21.4,83.1,1,1197
2017,525000,0,1,1,19723,5,20.3,84,-1,1199
2013,185000,0,2,0,80000,5,22.74,47.3,1,796
2015,950000,1,2,0,80000,7,15.4,120,1,2179
2010,220000,1,4,0,80000,5,19.3,73.9,1,1248
2015,200000,0,1,0,50000,5,18.6,76.8,1,1199
2014,680000,1,1,0,120000,7,15.4,75,1,2523
2012,900000,1,2,1,155000,4,16.07,181,1,1995
2007,85000,0,3,0,100000,5,18.9,67,1,1061
2013,360000,1,1,0,80000,5,22.07,73.9,1,1199
2008,110000,0,1,0,48676,8,19.7,35,1,796
2011,200000,0,2,0,100000,5,21.1,85.8,1,1197
2018,1525000,1,1,0,50000,7,17.6,153.86,1,2179
2015,550000,1,1,0,138000,5,22.77,98.59,1,1498
2017,495000,1,1,0,56000,5,25.83,99,1,1498
2012,350000,1,1,0,25000,5,21.03,65,1,1461
2011,270000,1,2,0,60000,5,19.3,73.9,1,1248
2017,750000,1,1,0,50000,7,24.52,88.5,1,1248
2013,291000,0,1,0,37000,5,20.36,78.9,-1,1197
2011,1350000,1,1,1,80000,5,15.8,170,1,2148
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2011,400000,1,2,0,100000,5,20.54,103.6,1,1598
2016,276000,0,1,0,60000,5,20.3,68.05,1,998
2010,180000,0,2,0,70000,5,18.9,67,1,1061
2012,280000,1,2,0,70000,5,22.9,74,1,1248
2011,170000,0,3,0,62000,5,16.36,93.7,1,1495
2010,350000,1,2,0,90000,5,23,90,1,1396
2017,325000,0,1,0,40000,5,25.17,53.3,1,799
2015,1000000,1,1,0,24700,7,16,140,1,2179
2014,300000,0,1,0,50000,5,18.2,82.4,1,1199
2013,310000,1,1,0,70000,5,25,69,1,1396
2018,1650000,1,1,0,20000,8,13.68,147.8,1,2393
2015,391000,1,1,0,55000,5,24.4,71,-1,1120
2014,650000,1,1,0,140000,5,25.1,98.6,1,1498
2015,235000,0,1,0,20000,5,22.74,47.3,1,796
2018,640000,0,1,1,25000,5,22,81.8,1,1197
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2017,600000,1,1,0,43235,5,24.29,99,-1,1498
2012,265000,1,2,0,67000,5,23.08,63.12,1,1461
2006,250000,1,1,0,185000,9,12.7,116.6,1,2609
2002,350000,0,1,0,60000,8,11.96,80,1,1298
2009,200000,0,3,0,110000,5,15,104.68,1,1586
2018,565000,0,1,0,19000,5,18.78,75,1,999
2015,500000,0,1,0,70000,5,18.6,81.83,1,1197
2010,250000,1,2,0,90000,5,18.8,90,1,1248
2017,625000,0,1,0,25538,5,16.78,88.73,-1,1496
2018,530000,1,1,0,80000,5,26.1,99.23,1,1498
2011,100000,1,1,0,80000,5,18,75,1,1248
2016,570000,1,1,0,136511,7,15.96,62.1,1,2523
2018,1600000,1,2,0,35000,7,13.68,147.8,1,2393
2005,120000,0,4,0,60000,5,18.9,67.1,1,998
2013,300000,0,2,0,80000,5,19.4,86.8,1,1198
2014,750000,1,2,0,80000,5,25.1,98.6,1,1498
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2011,975000,1,3,0,120000,7,11.5,171,1,2982
2017,295000,0,1,0,35000,5,24.7,47.3,1,796
2007,245000,1,2,0,120000,5,18.1,110,1,1493
2015,490000,0,2,0,45900,5,18.6,81.83,1,1197
2017,500000,0,1,0,20000,5,20.4,81.8,1,1197
2017,520000,0,1,0,20000,5,23.84,84,1,1199
2017,1050000,1,1,0,90000,7,15.4,120,1,2179
2011,250000,1,3,0,120000,5,23,90,1,1396
2014,400000,1,1,0,30000,5,20,68.05,1,1399
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2014,300000,1,1,0,50700,5,19.09,69.01,1,1405
2011,265000,0,1,0,80000,5,18.9,67.1,1,998
2010,1000000,1,1,1,60000,5,16.73,218,1,1995
2006,50000,0,3,0,40000,4,16.1,37,1,796
2012,409999,1,2,0,100000,5,22.32,126.3,1,1582
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2017,1150000,1,1,0,43526,7,16,140,-1,2179
2015,300000,1,1,0,140000,5,20,68.05,1,1399
2018,409999,0,1,0,35000,5,23.01,67,1,999
2017,625000,1,1,1,37000,5,26.8,74,1,1248
2018,1025000,1,1,1,8000,5,21.5,108.5,-1,1497
2018,1675000,1,1,0,80000,5,17.1,170,1,1956
2019,300000,0,1,0,35000,5,23.01,67,1,999
2011,250000,1,2,0,70000,5,20.54,103.6,1,1598
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2011,160000,0,2,0,25000,5,19.7,46.3,1,796
2018,880000,1,1,0,65000,5,23,98.96,1,1498
2017,285000,0,1,0,5000,5,25.17,53.3,1,799
2012,250000,1,1,0,156040,5,20,68,-1,1399
2010,285000,1,1,0,80000,5,17.8,75,1,1248
2012,250000,0,1,0,25000,5,21.1,55.2,1,814
2013,175000,1,2,0,68000,5,25.44,57.6,1,936
2011,200000,0,2,0,43500,5,18.06,75,1,1198
2006,220000,1,2,0,120000,8,10.5,120,1,2179
2014,900000,1,2,0,112000,8,12.99,100.6,1,2494
2015,459999,1,1,0,156975,9,15.96,62.1,1,2523
2009,130000,0,1,0,60000,5,19.7,46.3,1,796
2016,400000,0,1,0,30000,5,18.2,82.4,1,1199
2012,376000,0,1,0,26000,5,19.4,86.8,1,1198
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2019,490000,0,1,0,7000,5,21.63,67,1,998
2012,220000,0,2,0,360003,5,18.9,67.1,1,998
2019,488999,0,1,0,15000,5,18.9,81.86,1,1197
2016,690000,1,1,0,80000,5,26.59,74,1,1248
2015,819999,1,1,0,90000,7,16,140,1,2179
2018,465000,0,1,0,30000,5,20.51,67.04,1,998
2015,369000,0,2,0,20000,5,20.51,67.04,1,998
2019,640000,0,1,0,10000,5,18.9,81.86,1,1197
2016,375000,1,1,0,61173,5,27.62,47,-1,793
2016,600000,1,2,0,80000,5,26.59,74,1,1248
2017,254999,0,1,0,34000,5,21.1,55.2,1,814
2017,2711000,1,1,1,9000,5,13.6,177,-1,1999
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2017,575000,1,1,0,50000,5,22.54,88.73,1,1396
2013,430000,1,1,0,63000,5,23.4,74,1,1248
2008,110000,0,4,0,80000,5,18.9,67,1,1061
2019,975000,1,1,0,12584,6,16.55,105,-1,2498
2017,250000,0,1,0,42000,5,24.7,47.3,1,796
2013,375000,1,1,0,77000,5,22.9,74,1,1248
2009,365000,1,2,1,110000,8,11.79,120,1,2179
2017,725000,0,1,1,35000,5,21.21,81.8,1,1197
2019,650000,0,1,0,3500,5,18.6,81.86,1,1197
2010,105000,1,2,0,120000,5,18,75,1,1248
2015,795000,0,1,0,35000,5,17.01,121.3,1,1591
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2016,700000,1,1,0,30000,7,18.49,100,1,1493
2017,380000,1,1,0,80000,6,25.32,77,1,1198
2017,720000,1,1,0,60000,5,28.09,88.5,1,1248
2015,495000,0,1,0,30000,5,18.6,81.83,-1,1197
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2018,600000,1,1,0,70000,9,18.49,120,1,2179
2015,1000000,1,1,0,46000,7,24.5,98.6,1,1498
2014,700000,1,2,0,300000,7,12.99,100.6,1,2494
2016,631000,1,1,0,92385,7,15.96,62.1,1,2523
2008,140000,0,3,0,80000,5,17.92,62.1,1,1086
2016,550000,0,1,0,56494,5,18.2,88.7,-1,1199
2018,800000,0,1,1,25000,5,17.4,81.86,1,1197
2015,250000,1,2,0,100000,5,27.62,47,1,793
2020,925000,1,1,1,7400,5,24.3,88.5,1,1248
2018,409999,0,2,0,35000,5,23.84,84,1,1199
2019,360000,0,1,0,25000,5,23.95,67.05,1,998
2018,1000000,0,1,0,5229,5,17.1,105.5,-1,1496
2017,1750000,1,1,0,98000,7,13.68,147.51,-1,2393
2013,225000,1,2,0,100000,5,22.1,76.9,1,1248
2019,550000,0,1,1,28000,5,18.9,81.86,1,1197
2017,975000,1,1,0,48698,5,19.67,126.2,-1,1582
2009,350000,0,1,0,54290,5,17,118,-1,1497
2013,260000,0,2,0,50000,5,18.9,67.1,1,998
2016,550000,1,1,0,35000,5,24.4,71,1,1120
2019,1460000,1,1,0,5000,7,17.3,121,1,1497
2012,135000,1,2,0,120000,5,19,71,1,1405
2015,650000,1,1,0,120000,9,15.96,63,1,2523
2010,114999,0,2,0,60000,5,18,62,1,995
2014,610000,0,1,0,21000,7,16.02,93.7,1,1373
2013,480000,1,3,0,105000,5,23.4,74,1,1248
2016,400000,0,1,0,74381,5,21.79,67.05,-1,998
2014,650000,1,1,0,70000,7,15.4,120,1,2179
2017,1594000,1,1,0,5000,5,21.43,86.79,1,1364
2014,380000,1,2,0,50000,5,24,70,1,1120
2017,625000,0,1,0,25538,5,16.78,88.73,-1,1496
2018,350000,0,1,0,30000,5,23.01,67,1,999
2018,350000,0,1,0,40000,5,25.17,53.3,1,799
2016,715000,1,2,0,70000,5,28.09,88.5,1,1248
2015,390000,0,1,0,40000,5,20.51,67.04,1,998
2007,45000,0,1,0,80000,4,16.1,37,1,796
2012,340000,1,2,0,110000,9,15.96,63,1,2523
2010,450000,1,2,0,120000,5,21.43,87.2,1,1364
2018,2200000,1,2,1,25000,5,15.17,181,1,1968
2016,700000,1,1,0,110000,5,26,98.6,1,1498
2016,260000,0,2,0,65000,5,22.74,47.3,1,796
2018,950000,1,2,0,57000,5,25.1,88.5,1,1248
2009,170000,0,2,0,90000,5,19.7,46.3,1,796
2017,550000,1,1,0,60000,5,24,73.97,1,1186
2017,940000,1,1,0,57900,7,21.9,98.6,-1,1498
2013,470000,1,2,0,82000,5,26.59,74,-1,1248
2017,265000,0,1,0,100000,5,21.1,55.2,1,814
2004,40000,0,2,0,57000,4,16.1,37,1,796
2014,650000,1,1,0,129000,5,19.72,108.45,1,1461
2016,725000,1,1,0,110000,7,24.52,88.5,1,1248
2004,60000,0,2,0,113000,5,19.7,46.3,1,796
2003,80000,0,2,0,40000,5,14.4,94,1,1599
2019,900000,1,1,0,20000,5,28.4,74.02,1,1248
2009,180000,0,2,0,70000,5,20.36,78.9,1,1197
2005,90000,0,4,0,100000,5,19.7,46.3,1,796
2018,2475000,1,1,1,2000,5,16.8,150,-1,1984
2009,260000,1,2,0,80000,7,11.5,147.9,1,1991
2016,335000,0,1,0,40000,5,20.63,67,-1,1198
2009,170000,0,1,0,100000,5,20.36,78.9,1,1197
2007,150000,1,2,0,120000,5,19.2,65,1,1461
2015,525000,1,1,0,40000,5,26.59,74,1,1248
2011,160000,0,1,0,49563,5,16.2,62.1,-1,995
2018,900000,1,2,1,50000,5,24.3,88.5,1,1248
2017,1150000,1,1,0,63309,5,19.67,126.2,-1,1582
2013,500000,0,1,0,32000,5,16.8,116.3,1,1497
2012,300000,1,3,0,110000,5,22.9,74,1,1248
2016,550000,0,1,0,56494,5,18.2,88.7,-1,1199
2017,328000,0,2,0,68000,5,23.84,84,1,1199
1999,45000,0,3,0,100000,5,17.3,60,1,993
1999,40000,0,2,0,50000,4,16.1,37,1,796
2016,651000,1,1,0,42323,5,21.19,88.76,-1,1396
2004,120000,1,4,0,100000,7,10.5,120,1,2179
2014,430000,1,2,0,80000,5,25.2,74,1,1248
2008,170000,0,3,0,80000,5,16.1,88.2,1,1298
2010,215000,0,1,0,64000,5,19.7,46.3,1,796
2015,600000,0,1,0,35000,5,18.6,81.83,1,1197
2017,340000,0,1,0,40300,5,23.84,84,1,1199
2008,200000,1,1,0,163000,5,17.8,68,1,1399
2001,39000,0,1,0,42108,4,16.1,37,1,796
2018,350000,0,1,0,25000,5,21.1,55.2,1,814
2017,350000,0,1,0,25000,5,23.01,67,1,999
2012,170000,1,2,0,60000,5,20.3,75,1,1248
2007,229999,0,3,0,60000,5,17.7,78,1,1497
2020,1560000,1,1,0,20102,8,13.68,147.51,-1,2393
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2014,700000,1,1,0,117000,5,22.32,126.32,-1,1582
2014,350000,0,3,0,80000,5,18.9,82,1,1197
2012,310000,0,1,0,100000,5,19.1,85.8,1,1197
2010,175000,1,1,0,60000,5,18,75,1,1248
2017,819999,0,1,0,12000,5,17.5,88.7,1,1199
2016,1500000,1,2,0,100600,8,13.68,147.8,1,2393
2008,150000,1,1,0,120000,9,12.2,68,1,1948
2014,1000000,1,1,0,50000,7,15.1,140,1,2179
2013,750000,1,2,0,80000,7,15.1,140,1,2179
2018,509999,0,2,1,8000,5,20.51,67,1,998
2017,665000,1,1,0,25000,5,21.5,108.5,1,1497
2017,352000,0,1,0,68850,5,18.9,67.1,-1,998
2011,375000,1,1,0,97000,5,25.2,74,-1,1248
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2016,950000,1,2,0,46000,5,24.3,88.5,1,1248
2015,500000,1,1,0,126000,5,21.19,88.73,1,1396
2012,300000,1,1,0,54000,5,20,68,1,1399
2015,840000,1,2,0,120000,7,12.99,100.6,1,2494
2014,450000,0,1,0,30000,5,19.1,85.8,1,1197
2010,250000,1,3,0,135000,5,18.3,147.9,1,1991
2016,620000,1,1,0,120000,10,13.58,72.4,1,2499
2013,204999,0,3,0,100000,7,15.1,73,1,1196
2013,300000,0,3,0,75000,5,18.9,82,1,1197
2001,45000,0,1,0,137000,5,18.5,53,1,796
2016,515000,1,1,0,40000,5,19.87,83.8,1,1461
2015,700000,1,2,0,80000,5,20.45,83.8,1,1461
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2019,930000,1,1,0,15000,5,25.1,88.5,1,1248
2015,650000,1,1,0,150000,7,15.4,120,1,1997
2014,650000,1,1,0,90000,7,20.77,88.8,1,1248
2008,515000,1,2,1,120000,5,14.84,170,1,2143
2013,1425000,1,1,1,59000,5,14.84,170,-1,2143
2007,130000,0,1,0,120000,5,16.1,88.2,1,1298
2015,600000,1,2,0,31000,5,25.2,74,1,1248
2013,120000,0,2,0,110000,5,18.2,84.8,1,1199
2015,365000,0,1,0,28000,5,20.52,81.8,-1,1197
2012,400000,1,1,0,90000,7,20.77,88.76,1,1248
2018,650000,1,1,0,114000,7,14.95,93.7,1,2489
2014,600000,1,2,0,70000,5,23.4,74,1,1248
2016,625000,0,1,0,54000,5,18.7,88.7,-1,1199
2011,400000,1,2,0,70000,7,13.6,63,1,2523
2013,650000,1,1,1,64000,5,14.62,113.42,-1,1498
2008,190000,1,2,0,80000,5,19.3,73.9,1,1248
2015,450000,0,1,0,30000,5,20.4,81.8,1,1197
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2013,385000,0,1,0,120000,5,19.1,85.8,1,1197
2016,645000,0,1,1,11000,5,14.3,103.5,-1,1598
2014,1450000,1,2,1,27800,5,14.8,120.7,-1,2143
2011,300000,1,1,0,70000,7,13.93,138.03,1,2179
2017,635000,1,1,0,40000,5,26.59,74,1,1248
2018,2475000,1,1,1,2000,5,16.8,150,-1,1984
2014,110000,1,2,0,250000,5,19.1,70,1,1405
2016,660000,0,1,0,60000,5,21.4,83.1,1,1197
2017,2950000,1,1,1,39000,5,19.59,187.74,-1,1995
2012,495000,1,3,0,82000,5,17.3,163.7,1,1998
2017,700000,0,1,0,15000,5,17.5,88.7,1,1199
2017,530000,1,2,0,80000,5,24,73.97,1,1186
2009,130000,0,1,0,40000,4,16.1,37,1,796
2020,2125000,1,1,0,5500,5,26.8,118,-1,1597
2017,1250000,1,1,0,33000,5,25.6,97.9,1,1498
2012,119000,1,2,0,95000,5,19.4,70,1,1405
2017,1110000,1,1,0,186000,5,19.67,126.2,1,1582
2020,1650000,1,1,0,16000,5,17,167.67,-1,1956
2007,210000,1,1,0,110000,5,17.8,68,1,1399
2018,375000,0,1,0,11500,5,23.95,67.05,1,998
2006,250000,1,3,0,120000,8,10.5,120,1,2179
2012,450000,1,1,0,120000,7,15.96,62.1,1,2523
2009,360000,1,1,0,100000,5,19.3,73.9,1,1248
2012,80000,0,2,0,120000,8,19.7,35,1,796
2019,1025000,1,1,1,9850,5,24.3,88.5,1,1248
2016,340000,0,1,0,30000,5,21.1,55.2,1,814
2015,229999,0,2,0,34000,5,21.1,55.2,1,814
2012,550000,0,1,0,95000,5,16.3,147.5,1,1797
2019,5150000,0,1,1,20000,5,22.37,214.56,-1,2487
2010,180000,1,2,0,187000,5,17.8,68,-1,1399
2004,275000,0,2,1,100000,5,9,218,1,2997
2013,305000,1,1,0,160000,7,15.96,62.1,1,2523
2017,800000,1,2,0,60000,6,16.55,105,1,2498
2010,400000,1,1,0,100000,5,15,105,1,1896
2013,390000,1,1,0,77000,5,21.1,73.9,-1,1248
2016,650000,1,1,0,125000,5,22.77,98.59,1,1498
2005,225000,1,1,0,188000,7,12.3,90,1,1948
2015,400000,1,1,0,95000,5,27.62,47,1,793
2015,625000,0,1,0,20000,5,17.01,121.4,1,1591
2012,500000,1,4,0,200000,7,15.1,140,1,2179
2011,500000,1,2,1,150000,8,11.79,120,1,2179
2006,110000,1,2,0,88000,5,16.8,62,1,1405
2013,300000,1,1,0,40000,7,17.21,100,1,1493
2019,950000,1,1,0,20000,5,23,98.96,1,1498
2017,455000,1,1,0,50000,5,24,73.97,1,1186
2015,240000,0,2,0,50000,5,23.95,67.05,1,998
2014,225000,0,2,0,60000,5,20.36,78.9,1,1197
2017,268000,0,1,0,25000,5,24.7,47.3,1,796
2014,580000,1,1,0,120000,5,23.4,74,1,1248
2008,120000,0,3,0,68000,5,19.7,46.3,-1,796
2008,500000,1,3,0,154000,8,12.8,102,1,2494
2002,50000,0,1,0,62000,4,16.1,37,1,796
2013,370000,1,1,0,80000,5,21.9,88.76,1,1396
2015,480000,1,1,0,80000,5,25.83,99,1,1498
2014,335000,0,1,0,33033,5,19.4,86.8,-1,1198
2013,300000,1,1,0,90000,7,18.2,73.8,1,1248
2009,275000,1,2,0,90000,5,19.3,73.9,1,1248
2019,2700000,1,1,1,10000,7,13.8,174.57,1,2999
2014,350000,1,2,0,101200,7,15.3,83.83,1,2956
2015,1650000,1,2,1,91000,7,12.55,168.5,-1,2982
2016,730000,1,2,0,65100,7,18.49,100,1,1493
2002,45000,0,2,0,70000,4,16.1,37,1,796
2017,525000,0,1,0,30000,5,18.9,81.86,1,1197
2002,40000,0,1,0,80000,4,16.1,37,1,796
2019,3800000,1,1,1,20000,5,18,190,1,1969
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2015,1400000,1,1,0,170000,7,12.99,100.6,1,2494
2014,850000,1,1,0,75000,7,15.1,140,-1,2179
2017,650000,0,1,0,18816,5,17,73.75,-1,1198
2012,175000,1,2,0,90000,7,15.42,70,1,1405
2015,503000,1,1,0,110000,7,14.1,147.94,1,2179
2016,645000,0,1,1,11000,5,14.3,103.5,-1,1598
2009,280000,0,1,0,35000,5,17.5,85.8,1,1298
2018,2940000,1,1,1,100000,7,12.9,174.5,-1,2755
2016,574000,0,2,0,35000,5,20.85,83.14,1,1197
2018,950000,1,1,1,40000,5,21.5,108.5,1,1497
2011,950000,1,1,0,68000,7,13.1,141,1,2499
2018,360000,0,1,0,21900,5,20.71,53.26,-1,799
2009,525000,1,4,0,217000,8,12.8,102,1,2494
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2014,450000,1,1,0,145500,5,23.4,74,1,1248
2016,890000,1,1,0,40000,7,24.52,88.5,1,1248
2016,250000,0,2,0,20000,5,23.95,67.05,1,998
2015,285000,0,1,0,40000,5,23.95,67.05,1,998
2011,246000,0,1,0,139000,5,18.9,67.1,1,998
2007,229999,1,3,0,120000,7,10.5,120,1,2609
2013,400000,1,2,0,188000,5,22.9,74,1,1248
2015,80000,0,1,0,60000,4,23.9,37.48,1,624
2014,1600000,1,2,1,44000,5,16.55,147.51,1,1968
2017,597000,1,1,0,15000,5,24.7,69,1,1047
2018,1000000,0,1,0,5229,5,17.1,105.5,-1,1496
2014,484999,1,1,0,54000,5,23,98.96,-1,1498
2017,680000,1,1,0,71000,5,27.39,74,1,1248
2016,220000,0,1,0,35000,8,16.8,34.2,1,796
2019,5150000,0,1,1,20000,5,22.37,214.56,-1,2487
2017,650000,1,1,0,20000,5,28.4,74.02,1,1248
2016,400000,1,3,0,60000,5,23.2,73.94,1,1248
2010,150000,0,1,0,70000,5,18.6,79.4,1,1199
2012,350000,0,1,0,80000,5,17.92,62.1,1,1086
2010,125000,1,2,0,120000,5,17,71,1,1405
2014,430999,1,1,0,120000,5,23.59,67.04,1,1364
2015,535000,1,1,0,40000,5,26.21,88.5,-1,1248
2015,530000,1,1,0,120000,5,25.2,74,1,1248
2017,725000,1,1,0,60000,5,28.4,74.02,1,1248
2012,265000,0,2,0,100000,5,18.5,80,1,1197
2016,645000,0,1,1,11000,5,14.3,103.5,-1,1598
2016,800000,0,1,0,25000,5,15.29,121.3,1,1591
2016,600000,0,1,0,10000,5,18.6,81.83,1,1197
2011,300000,1,2,0,70000,5,22.9,74,1,1248
2015,425000,1,2,0,91500,5,24,70,1,1120
