year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2016,375000,0,2,0,120000,5,16.2,74,1,1199
2011,280000,1,4,0,131000,5,20.54,103.6,1,1598
2016,400000,0,1,0,40000,5,18.15,82,1,1198
2002,60000,0,2,0,52365,4,16.1,37,-1,796
2012,225000,0,2,0,80000,5,18.9,67.1,1,998
2009,125000,0,1,0,80000,4,16.1,37,1,796
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2015,585000,1,1,0,72000,5,22.54,88.73,-1,1396
2015,503000,1,1,0,110000,7,14.1,147.94,1,2179
2009,450000,0,1,1,71000,5,12.1,164.7,-1,2362
2018,550000,0,1,0,30000,5,21.4,83.1,1,1197
2011,700000,1,2,0,250000,7,12.8,102,1,2494
2014,465000,1,1,0,27233,5,27.4,98.63,-1,1498
2019,480000,0,1,0,13000,5,19.44,75,1,999
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2017,690000,1,2,0,65000,7,21.04,83.8,1,1461
2016,600000,0,1,0,25000,5,17.19,81.86,1,1197
2014,170000,0,2,0,70000,5,21.1,55.2,1,814
2017,690000,0,1,0,20000,5,18.6,81.83,1,1197
2000,45957,0,2,0,90000,5,19.7,46.3,1,796
2010,170000,1,3,0,150000,5,21.12,88.8,1,1248
2016,640000,1,2,0,80000,7,24.52,88.5,1,1248
2011,275000,1,1,0,165000,5,21.1,73.9,1,1248
2017,550000,1,2,0,70000,5,24.4,71,1,1120
2007,90000,1,1,0,50000,5,17.88,52.8,1,1396
2015,503000,1,1,0,110000,7,14.1,147.94,1,2179
2019,5500000,1,1,1,8500,5,16.78,190,-1,1995
2018,500000,1,1,0,10000,8,23.5,45,1,909
2010,200000,0,1,0,120000,5,15.7,75,1,1390
2012,267000,0,1,0,40000,5,20.36,78.9,1,1197
2013,360000,1,1,0,97000,5,22.9,74,1,1248
2009,300000,1,2,0,90000,8,14,112,1,2498
2018,1200000,1,1,0,40000,5,22,126.2,1,1582
2017,700000,1,1,0,70000,5,22.54,88.73,1,1396
2017,420000,0,1,0,30000,5,20.51,67.04,1,998
2014,450000,1,2,0,15000,7,20.77,88.76,1,1248
2015,500000,1,1,0,70000,5,20.4,91.7,1,1248
2008,325000,1,4,0,80000,7,12.8,102,1,2494
2010,202999,1,1,0,158000,5,18.8,90,1,1248
2009,195000,0,1,0,40000,5,19.7,46.3,1,796
2014,700000,1,1,0,24000,6,16.55,105,1,2498
